Vocabulary Size, Context Size, Embedding Mode, Embedding Size, Iterations
500 , 1 , state , 5 , 15
500 , 1 , state , 10 , 13
500 , 1 , state , 15 , 11
500 , 1 , state , 20 , 11
500 , 1 , word , 5 , 12
500 , 1 , word , 10 , 10
500 , 1 , word , 15 , 9
500 , 1 , word , 20 , 9
500 , 2 , state , 5 , 17
500 , 2 , state , 10 , 13
500 , 2 , state , 15 , 11
500 , 2 , state , 20 , 11
500 , 2 , word , 5 , 14
500 , 2 , word , 10 , 11
500 , 2 , word , 15 , 11
500 , 2 , word , 20 , 10
500 , 4 , state , 5 , 16
500 , 4 , state , 10 , 13
500 , 4 , state , 15 , 12
500 , 4 , state , 20 , 11
500 , 4 , word , 5 , 13
500 , 4 , word , 10 , 11
500 , 4 , word , 15 , 10
500 , 4 , word , 20 , 9
500 , 50 , state , 5 , 14
500 , 50 , state , 10 , 12
500 , 50 , state , 15 , 12
500 , 50 , state , 20 , 11
500 , 50 , word , 5 , 14
500 , 50 , word , 10 , 11
500 , 50 , word , 15 , 10
500 , 50 , word , 20 , 9
1000 , 1 , state , 5 , 18
1000 , 1 , state , 10 , 12
1000 , 1 , state , 15 , 11
1000 , 1 , state , 20 , 10
1000 , 1 , word , 5 , 16
1000 , 1 , word , 10 , 10
1000 , 1 , word , 15 , 9
1000 , 1 , word , 20 , 9
1000 , 2 , state , 5 , 20
1000 , 2 , state , 10 , 12
1000 , 2 , state , 15 , 11
1000 , 2 , state , 20 , 10
1000 , 2 , word , 5 , 14
1000 , 2 , word , 10 , 11
1000 , 2 , word , 15 , 11
1000 , 2 , word , 20 , 10
1000 , 4 , state , 5 , 17
1000 , 4 , state , 10 , 13
1000 , 4 , state , 15 , 11
1000 , 4 , state , 20 , 11
1000 , 4 , word , 5 , 13
1000 , 4 , word , 10 , 11
1000 , 4 , word , 15 , 10
1000 , 4 , word , 20 , 9
1000 , 50 , state , 5 , 14
1000 , 50 , state , 10 , 13
1000 , 50 , state , 15 , 12
1000 , 50 , state , 20 , 11
1000 , 50 , word , 5 , 13
1000 , 50 , word , 10 , 11
1000 , 50 , word , 15 , 10
1000 , 50 , word , 20 , 9
2000 , 1 , state , 5 , 14
2000 , 1 , state , 10 , 11
2000 , 1 , state , 15 , 11
2000 , 1 , state , 20 , 10
2000 , 1 , word , 5 , 15
2000 , 1 , word , 10 , 10
2000 , 1 , word , 15 , 9
2000 , 1 , word , 20 , 9
2000 , 2 , state , 5 , 12
2000 , 2 , state , 10 , 11
2000 , 2 , state , 15 , 10
2000 , 2 , state , 20 , 9
2000 , 2 , word , 5 , 14
2000 , 2 , word , 10 , 11
2000 , 2 , word , 15 , 10
2000 , 2 , word , 20 , 9
2000 , 4 , state , 5 , 15
2000 , 4 , state , 10 , 12
2000 , 4 , state , 15 , 11
2000 , 4 , state , 20 , 10
2000 , 4 , word , 5 , 17
2000 , 4 , word , 10 , 10
2000 , 4 , word , 15 , 9
2000 , 4 , word , 20 , 9
2000 , 50 , state , 5 , 15
2000 , 50 , state , 10 , 12
2000 , 50 , state , 15 , 11
2000 , 50 , state , 20 , 10
2000 , 50 , word , 5 , 12
2000 , 50 , word , 10 , 11
2000 , 50 , word , 15 , 9
2000 , 50 , word , 20 , 9
